Column1,nickname,text,score,like,dislike,time,watch_movie
1636,gamedory(egnu****),,10,1,0,2020-02-03 1:37,0
1637,멍멍이(nymp****),,10,1,0,2020-02-03 1:13,0
1638,노랑머리 외쿡인(sohy****),웨이브 영화 카테고리 메인에 짱짱한 배우들 라인업에 소제목 아무것도 만지지마라가 눈에 띄어서 줄거리를 봤더니 바이러스 재난 영화라해서 요즘 시기가 시기인지라 볼까하고 평점을 봤더니 성지영화라고 해서 망설임 없이 결재...,7,1,0,2020-02-03 1:12,0
1639,zzzzx(tkfk****),평점아 올라라영화 먼저 보고서 개봉일 봤는데 2011년이라니거의 10년을 미리 내다본거네요 ㅠㅠ,10,1,0,2020-02-03 1:09,0
1640,그냥(onel****),우환폐렴이랑 완전 같아요~,10,1,0,2020-02-03 0:55,0
1641,Linda(ys84****),영화 보려구 하는데 우선 평점 좀 높여줘야 할 것 같아서요.. 창피..;;,10,1,0,2020-02-03 0:46,0
1642,정수인(redl****),소름 예언자다 감독무섭다,10,1,0,2020-02-03 0:31,0
1643,HaeRong(rae_****),컨테이젼을 보고 계획한듯한 우한코로나바이러스. 넘 똑같.. 하는 짓도 소오름... 백신나와도 똑같겠지..,10,1,0,2020-02-03 0:14,0
1644,Seong3three(bug1****),,10,1,0,2020-02-03 0:00,0
1645,잇잇잇(lhye****),,9,1,0,2020-02-02 23:54,0
1646,봬듄(qown****),,10,1,0,2020-02-02 23:33,0
1647,ncpa****,지금 시점에 보니 은근 더 집중하게 만듬!!전염병~!무서운 존재다,8,1,0,2020-02-02 23:22,0
1648,sung****,신종코로나 사태를 정확히 예견한 영화. 진짜 소름,10,1,0,2020-02-02 22:06,0
1649,다운블로(niks****),지금 당장 온국민이 봐야 할 영화,10,1,0,2020-02-02 21:34,0
1650,ljw2****,현실을 그대로 반영.. 아니 예언..,10,1,0,2020-02-02 21:03,0
1651,종이인형(sdb8****),,10,1,0,2020-02-02 20:55,0
1652,bugj****,,10,1,0,2020-02-02 20:46,0
1653,rnjs****,우한사태를 미리예측하고만든영화 ...무섭다;;,10,1,0,2020-02-02 20:39,0
1654,니키(mero****),정말 심플하고 군더더기 없이 만든 작품.,7,1,0,2020-02-02 17:34,0
1655,Wendy(mull****),현실적인 이야기. 지금의사태와 너무 비슷해서 집중이 더욱 잘되었습니다. 손씼기는 필수죠.,9,1,0,2020-02-02 17:04,0
1656,커피쟁이(revi****),,8,1,0,2020-02-02 16:39,0
1657,nsrm****,,10,1,0,2020-02-02 16:37,0
1658,문스트릿(love****),결국 바이러스를 만들어낸건 비위생적인 환경,10,1,0,2020-02-02 16:37,0
1659,토니권(heav****),NEV-1=코로나 예언,10,1,0,2020-02-02 16:00,0
1660,푸하(1pim****),감독이 의도한거겠지만..영화적 재미는..그저그렇다..,8,1,0,2020-02-02 14:23,0
1661,닥터홍(skar****),,10,1,0,2020-02-02 13:31,0
1662,twins1994(saku****),,10,1,0,2020-02-02 1:55,0
1663,ㅊㅎㅇ(hw33****),영화는 지극히 현실적이고 조금 주드로의 배역으로 사기치는게 기분나쁘기도 하지만 이영화를 보면서 가장 기분이 나쁘고 힘들었던 것은 번역이었다.,8,1,0,2020-02-01 22:18,0
1664,선도현(ssdh****),,10,1,0,2020-02-01 22:17,0
1665,퍼니셔(sutt****),아 중국우한바이러스 무섭다,10,1,0,2020-02-01 22:06,0
1666,귤곰(ongi****),스포일러가 포함된 감상평입니다. 감상평 보기,8,1,0,2020-02-01 22:05,0
1667,Inspire(ejrg****),,10,1,0,2020-02-01 22:02,0
1668,Scy(umji****),티비에서 나와 시청했는데 사실적으로 풀어 집중해서 봤네요,10,1,0,2020-02-01 21:18,0
1669,김민지(4jmi****),,10,1,0,2020-02-01 21:17,0
