Column1,nickname,text,score,like,dislike,time,watch_movie
66,고수경(rhtn****),코로나 터지고 들어와본사람..? 지금 ㅈㄴ무서움 ㅠㅠ,6,87,3,2020-01-25 12:37,0
70,이동현(supe****),코로나 때매 생각나서 검색한사람 있습니까?,10,80,1,2020-02-24 2:29,0
104,eunha(holp****),우한 폐렴때문에 온 사람 있다 여기,10,52,2,2020-02-02 23:33,0
105,기상청(outl****),미리 본 우한,10,54,4,2020-01-26 22:31,0
114,이성화(firs****),2020에 보고 계신분?..,10,45,0,2020-03-08 1:49,0
125,됴 향(car1****),2013년도의 사람들은 진짜 현실이였다는걸 몰라서 평점을 저렇게 줬겠지??지금 와서 보니 소름이다,10,48,6,2020-01-26 2:23,0
129,sky(n435****),이 영화 사건이 실제로 일어 납니다 이 글은 성지 순례 수준의 댓글이 됩니다,10,52,12,2020-01-26 18:11,0
161,하이요(frig****),이제보니 굉장히 현실적인 영화였네,10,38,5,2020-01-27 13:25,0
177,junesuk1025(june****),엌ㅋㅋ 이때 개봉했으면 2500만은 갈듯ㅋㅌ,10,29,1,2020-01-29 21:42,0
180,쏭블리(mong****),당시엔 별로였으나 지금은 심각하게 본사람 손,8,30,2,2020-02-27 19:58,0
181,장종현(midd****),2020 우한폐렴 때문에 평점 보러 온 사람 좋아요,10,30,2,2020-02-02 3:08,0
208,na27****,"처음에 대구 봉쇄 운운하던 현 시국과 너무 똑같이 오버랩되어 현실감이 넘쳤으나, 중후반부터 없어도 되는 반미 코드와 개연성 없는 전개에 용두사미가 되어 버림",5,27,2,2020-03-10 6:09,0
217,파래김(bao3****),영화 개봉당시 현실성 없는 스토리라 평이 자자했지만 지금 보면 그 반대 인듯 하다.,10,25,1,2020-02-23 15:38,0
218,미란다꼬(spya****),7년전 개봉한 영화 감기가..현재 코로나바이러스 현실이되다..,10,25,1,2020-01-30 11:52,0
226,김훈남(qudg****),이 영화는 곧 현실이 됩니다.,7,26,2,2020-01-26 12:45,0
230,나와우리(rmsi****),성지순례 왔습니다.다들 건강하게 해주세요.,10,27,3,2020-01-27 22:02,0
234,닥터가스레인지(comm****),현 시국 재평가 요망 ㄷㄷㄷ,7,23,0,2020-02-23 14:44,0
235,파랑파랑(para****),저땐 몰랐죠. 영화같은 일이 벌어질줄은...,10,23,0,2020-02-01 22:34,0
243,since씨(sinc****),감독님 최소 예언가,10,25,2,2020-02-24 15:55,0
250,반가워요(irur****),제목 코로나로 짓지그랬나,8,22,0,2020-02-23 15:31,0
252,임다훈(bhin****),전에 봤을때는 그저 그런 말도 안되는 영화인줄 알았는데 세상일은 모르는걸까 영화랑 똑같어졌네,10,23,1,2020-01-28 16:06,0
271,csmsf(csms****),스포일러가 포함된 감상평입니다. 감상평 보기,4,21,0,2020-02-09 17:21,0
277,mayb****,시대를 앞서간 영화,10,22,1,2020-02-23 14:40,0
278,요셉(w64y****),2020 2월 22일 현재 대한민국 현재 진행형,10,22,1,2020-02-22 3:23,0
308,태드래곤(kang****),이 시국이 되고보니 영 말이 안되는 영화는 아니네요.. 허나 지나친 소방관 미화와 반미코드는 보기 좀 그렇네요..,8,22,2,2020-03-09 22:59,0
309,Jin(tkwk****),"2013년 감기...지금은 2020년 우한폐렴....분명 영화가 극단적인 설정이긴한데 배워야 할 점이 있다. 전문가들 즉, 의사 말을 좀 들어야할텐데 정치인들이란...ㅠ 대한의사협회가 1월달부터 그렇게 정부에게 권고...",10,22,2,2020-03-05 2:08,0
