Column1,nickname,text,score,like,dislike,time,watch_movie
32,그대물러서라(cosy****),개봉당시 1점준 제가 영알못이었습니다 ㅜㅜ 이건 영화가 아닌 미래에 대한 예언이자 현실이었습니다.,10,202,37,2015-06-02 13:45,0
33,한글(mg50****),지극히 평범한 영화인줄 알았는데... 메르스 사태보니 현실적인 영화였다,10,200,40,2015-05-29 23:56,0
34,윤배트(deuk****),이 영화의 장점은 많은 인원을 동원한 군중씬이다. 그 밖에는 특별한 장점이 없다. 훌륭한 배우들이 아깝게 소모된다. 무엇보다 전염병 방역은 평시 작전인데 무슨 전작권 타령인가. 작가가 너무 무지한 것 같다. 제작과정...,1,267,110,2013-08-15 13:45,0
35,ehdd****,다들 재밋다고만하시네 난왜이리  식상하지?,3,373,216,2013-08-14 14:43,0
36,cobi(wyh1****),진부한 소재. 매끄럽지 못한 내용 전개.스티븐소더버그의 컨테이젼을 답습하려고 하지만 실패한 작품.,1,295,139,2013-08-15 13:21,0
37,cha1****,장혁의 억지영웅에 말도 안되는 연결성 토나오는 허구성   감동 주려고 끼워넣은 장면들 하나하나 개호구같고  대놓고 반미영화에 뭐하나 제대로 되는게 없는 이시대 최악의 영화,1,258,106,2013-08-15 14:22,0
38,룡룡(lene****),이건 차인표라도 있지...어휴...,10,165,18,2015-06-02 14:27,0
39,Booting(boot****),그땐 못알아봐서 죄송합니다...나라가 이정도로 꼴통일줄은 몰랐지,10,160,21,2015-06-04 0:35,0
40,지승(hunt****),왠만해서 이런거안쓰는데 최악의영화다진짜 뒤죽박죽 장르도 왓다갔다   오죽하면 영화보는 도중에쓰는중,1,230,98,2013-08-15 15:21,0
41,ppri****,감독이 신기가 있는지 어찌 촬영지도 경기도냐... 와 옛날에볼때는 현실성 제로라 생각했건만 우연의 일치라도 신기할뿐. 이러다 진짜 심각해지면 지역폐쇄 오나.,10,140,9,2015-06-01 18:58,0
42,마린보이(chso****),억지전개????  이 감독은 위기가 올때 대처를 할 대한민국지도층의 무능을 알고 있었다,10,143,16,2015-06-02 13:48,0
43,카사마(akir****),말 않듣는 애세끼 찾으러 다니다 끝나는 영화,1,170,44,2013-08-18 4:02,0
